(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
NH	tɐiLT.	tsʰɐnLR.	ŋɔLR.	hɐmLT.paŋLT.laŋLT.	ʈouHT.	tʰuŋHB.	pʰɐiHT.syHR.	fɔŋHT. / pʰaHB.	hɐtHT.jiHT.	tsœnHT.	naLR.	haHT.	jɐiLR.	waHB.tyHR.	ʈuŋHB.sɔHR.	tœtHT.tœtHT.	wuHT.tɔHT.	mukLT.tɐiLT.kʰamHR.	ʈɔŋHB.mɐiHT.	sikLT.	tsʰœnHT.	kɐuHR.naHR.	jɛpLT.lɛŋLT.	hiŋHB.	sœŋHT.hœŋLR.	kɔHB.	tsɐpHT.lɐpHT.	wɔHB.	tsikHB.	timHR.	tʰouLR.ŋɔLT.	wɐnHB. / kʰiŋHB.	pyLT.	tsœŋHT.	saŋHT.	laŋLR.	hɐiHR. / hœŋHR.	tʰɐiHR.	kɐuHR.kuŋHT.	jytLT.kuɔŋHT. / jytHR.	pɐiLT.kœHT.	hiHT.	tsaŋHT.	pɐiHR.	siŋHB.jɐnHB. / pʰaŋHR.	pɔHR.lɔkHT.	luŋHB.	tʰauHR.	himHB.	wɐnHR.	tsɔŋHT.	pɔkHB.tʰauHB.	ɛuHT.	haHT.	hɐnHB.	taHR.	tsʰiHB.kɐnHT.	pakLT.tɐuHR.	fuHB.tœkHB.	tsiHT.tsyHT.	pʰaŋLT.	ʈɔŋLT.	sɐtLT.tɛŋLT.	louLR.	siHR.mɔHT.taHR.	lɐiHB.	tɛŋHB. / tsʰɛHT.	lɔkLT.hyLR.	kʰɐmLF.tsyHB.	hiŋHT.jɐtLT.	lɐiLT.	pʰɔHT.	tsɛHT.	tʰɛŋHT.waLT.	pɛŋHT.kɔHB.	hikLT.	kʰɐmHB.jɐtLT.
NM	tiLT.	sɐnLR.	ŋɔLR.	hɐmLF.paLF.lɐŋLF.	jɐuLT.	tʰuŋLF.	fiHF.syHR.	pʰaHB.	hɐtHT.ŋiHT.	tsɐnHF.	nɛnHT.	hɐpHT.	wanLF.pʰiLF.	faiHB.tsɿHR.	jɐnHF.suiHR.	tsukHT.tsɐtHT.	latLT.tʰatHB.	munLF.hamHR.	tsiŋHF.tʰiŋLF.	sikLT.	tanLT.	kɐuHR.naHR.	simHR.tinLT.	mɐnHF.jiŋLF.	kɐpHT.naHR.	kɔHB.	kʰɐpHT.tɐuHR.	kukHT.	pʰɐtHT.	timHR.jøŋLT.	ŋɔLR.	tsʰiHB.	hɔŋHB.	paHR.	ɔHF.	kɐuLT.	hɐiHR.	tʰaiHR.	kɐuHR.kuŋHF.	ytLT.kɔŋHF.	piLT.kɔHF.	hiHF.	tsaŋHF.	ŋaiLF.	saHR.	pukHT.kɔHR.	huŋLF.	siŋLF.	jimLF.	wɐnHR.	tsɔŋHF.	pɔkHB.tʰɐuLF.	hɛmHB.	haHF.kuŋHF.	suiLT.	tsɐiHR.	tʰiuLF.kaŋHF.	wɔŋLF.tɐuLT.	maLF.tsʰøkHB.	tsiHF.tsauHF.	fanLT.	kɔŋLT.	kʰɐmHF.	luHT.	tsʰɐkLT.tsɐiHR.	aHB.	tiuHF.	lɔkLT.yLR.	paŋLF.pɐuHF.	tʰiŋHF.jɐtLT.	liLT.tsʰinLF.	pʰɔHT.	tsɛHF.	kuaiHF.	pinHF.kɔHB.	jikLT.	tsɔkHB.jɐtLT.
NN	tiLT.	kʰɐnLR.	ŋɔLR.	hɐmLF.paLF.lɐŋLF.	jɐuLT.	tʰuŋLF.	fiHT.syHR.	pʰaHB.	hɐtHT.jiHT.	tsɐnHT.	mɛLF.	hɐpHT.	wanLF.pʰiLF.	kʰuaiHB.sɐuHR.	tuŋHB.suiHR.	tsytHT.tsytHT.	latLT.tʰatHB.	munLF.kʰamHR.	tʰɔŋLF.mɛHT.	sikLT.	tanLT.	kɐuHR.naHR.	simHR.tinLT.	mɐnHT.jiŋHT.	kɐpHT.naHR.	kɔHB..	lɐmHB.tɔŋHB.	kukHT.	pʰɐtHT.	tʰuŋLF.timHR.	ŋɔLT.	wuiLF.	hɔŋHB.	paHR.	ɔHT.	kɐuLT.	hɐiHR.	tʰaiHR.	kɐuHR.kuŋHT.	ytLT.kɔŋHT.	piLT.kɔHT.	hiHT.	tsaŋHT.	ŋaiLF.	saHR.	pɔHT.lukHT.	kɔŋHB.	siŋLF.	jimLF.	wɐnHR.	tsɔŋHT.	pɔkHB.tʰɐuLF.	ɛuHT.	haHT.kuŋHT.	suiLT.	tsɐiHR.	tsʰiLF.kɐŋHT.	wɔŋLF.tɐuLT.	maLF.tsʰøkHB.	tsyHT.tsyHT.	fanLT.	kɔŋLT.	kʰɐmHT.	luHT.	tsʰɐkLT.	aHB.	tsaiLT.	lɔkLT.yLR.	kʰɐmLF.kʰyLF.	tʰiŋHT.jɐtLT.	liLT.tsʰinLF.	pʰɔHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jikLT.	tsɔLT.jɐtLT.
NN_p	tuiLT.	ɬɐnLR.	ŋaLR.	hɐmLF.paLF.lɐŋLF.	mɔLF.	tsʰɐuHR.	fuiHF.ɬuiHB.	pʰaHR.	kauHR.ŋuaHR.tsiHB.	tsɐnHF.	mɛLF.	hɐpHT.	ŋuanLF.puiLF.	kʰuaiHR.tsuiLT.	jənHT.ɬuiHB.	tʰɔHB.kɐuHB.	ukHB.tsʰukHB.	munLF.kʰamHB.	taŋLF.lɔiHF.	hikHB.	tanLT.	muLR.kɐuHB.	ɬimHB.tinLT.	mɐnHF.iŋHF.	kapHB.	kiHR.	kʰɐpHT.tɐuHB.	kukHB.	pʰɐtHB.	aHT.nɐŋHB.	kuiHF.	kuɐnHR.	hɐŋHR.	paHB.	aHF.	kɐuLT.	tsuiLT.	hanHR.	kuŋHF.kɐuHB.	wuitLR.kuŋHF.	pɐtLT.tsiHB.	huiHF.	tsɛŋHF.	ŋaiLF.	hɐnHF.	pukLT.tsiHB.	kaŋHR.	ɬiŋLF.	himLF.	lɐiHR.	tsaŋHF.	pukHB.tɐuLF.	ɛuHF.	haHF.tsiHB.	ɬuiLT.	tsaiHB.	tuŋLF.kɛŋHF.	huŋLF.tɐuLT.	maLF.tsʰɛkHT.	tsauHR.tsaHF.	fanLT.	jɐuLF.	kʰɐmHF.	ȵiLT.	tsʰɐkLT.tsaiHB.	kəHR.	tɐuHF.	lakLR.huiLR.	ɬɐmLF.ɬuiLF.	miŋLF.ȵɐtLR.	luiLT.tsinLF.	tɐuHF.	ɬanHR.	kuaiHF.	nanHF.	hikLR.	tsiLT.ȵɐtLR.
PB	tʰuiLT.	sɐnHR.	ŋɔLR.	tsʰunHR.pʰəuLT.	jɛLR.	kʰɔŋLT.	fuiHR.səuHB.	pʰaHF.	kʰɐtHB.ȵuiHR.ləuHB.	pʰɐiHR.	tsiHT.	haHT.	tʰiuHF.pʰuiHR.	kʰuaiHF.tsʰəuLT.	jɐnHT.suiHB.	tʰəuHB.kɐuHB.	laLT.tsaLT.	munHR.hɔmHF.	tsʰɐiHT.tʰɐiHR.	haiHB.	tʰanLT.	mɐuLR.kɐuHB.	simHB.tʰinLT.	mɐnHT.sɐiHR.	kɔpHB.	kuHF.	kuanHT.munHR.	kɔkHB.	pʰɐtHB.	tʰɔŋHR.tsuiHB.	kuiHT.	tʰɛŋHF.	tsɐiHB.	puHB.	sɛŋHT.	sɐiLT.	tsʰuiLT.	tʰɔiHB.	kɔŋHT.kɐuHB.	ȵutLT.ləŋLT.	pʰɐtLT.kɔŋHT.	huiHT.	tsɛŋHT.	tsʰəkLT.	lɔiHT.	lukLT.pʰukLT.	pʰɛŋHT.kɛŋHF.	sɐiHR.	ȵimHR.	wɐnHB.	juHB.	pɛkHB.tʰɐuHR.	iuHF.	haHT.kɔŋHT.	suiLT.	tsaiHB.	tʰiuHR.kɛŋHT.	wuŋHR.tʰɐuLT.	maHR.tsʰəkHB.	tsuiHB.tsɐuHT.	fanLT.	lɔiHT.	kʰɐmHT.	naLR.	tsʰɐkLT.ləuHB.	kuHT.	tiuHT.	lɛkLT.həuLR.	sɐmHF.səuHR.	mɐiHR.ȵɐtLT.	luiLT.tsʰinHR.	tɐuHT.	tsiHT.	kuaiLF.	mɐtHT.ȵɐnHR.	jɐiLR.	tsʰaiLT.ȵɐtLT.
PY	teiLT.	sɐnLR.	ɔiLR.	hɐmLT.paŋLT.laŋLT.	touHF.	tʰuŋLF.	feiHF.syHR. / fukHT.syHR.	kɛŋHF.	hɐtHT.jiHT.	tsœnHT.	linHT. / laiLR.	haHF.	jɐiLR. / pakHB.jimHB. / tʰiuHB.pʰeiLF.	faiHB.tsiHR.	tuŋHB.sœyHR.	tsytHT.	latLT.tʰatHB. / wuHT.tsouHT.	munLF.kʰamHR.	tʰɔŋLF.meiHT.	setLT.	tsʰœnHT. / tanHR.	kɐuHR.laHR.	simHR.tinLT.	wuHF.jenHT.	tʰinLF.kɐiHF.	kɔHB.	tsɐpHT.lɐpHT.	wɔLF.	tsɛkHB.	timHR.	tʰouLR.ɔLT.	wɐnLF. / tʰɔŋHB.	puiLT.	tsœŋHT.	saŋHF.	laŋLR.	hɐiHR. / hœŋHR.	tʰɐiHR.	kɐuHR.kuŋHT.	jytLT.kuɔŋHT.	peiLT.kɔHT.	heiHF.	tsaŋHF.	peiHR.	fanHR. / sinHT.	lukHT.jɐuHR.	huŋLF.	tʰauHR.	jimLF.	wɐnHR.	tsɔŋHF.	pɔkHB.tʰɐuLF.	kiuHB. / aiHB.	haHT.	fɐnHB.	tsɐiHR.	tsʰiLF.kɐŋHF.	pakLT.tɐuHR.	maLF.tsœkHB.	tsiHT.tsyHT.	fanLT.	tɔŋLT. / kuaŋLT.	sɐtLT.tsɛŋLT.	kɔHR. / kɔHR.	tsʰakLT.tsɐiHR.	liHT.	tɛŋHB. / pʰɛkLT.	lɔkLT.jyLR.	kʰɐmLF.kʰœyLF.	tʰenHT.jɐtLT.	leiLT.	pʰɔHT.	tsɛHF.	kuaiHF.	pinHT.kɔHB.	jetLT.	kʰɐmLF.jɐtLT.
QJ	teiLT.	sɐnHR.	ŋɔLR.			tʰuŋLF.	feiHT.syHR.	kɛŋHT.	hɐtHT.jiHT.	tsœnHT.	linHT.		tʰiuHB.pʰeiLF. / pakHB.jinHB.	faiHB.tsiHR.	laŋLR.sœyHR. / tuŋHB.sœyHR.	tsikHT.tsœtHT.	latLT.tʰatHB.	munLF.tsʰaŋHR.	lɔŋLF.meiHT.	sikLT.	tanHR.	kɐuHR.laHR.	sinHR.tinLT.	wuHT.jiiŋHT.	kɐtHT.laHR. / tʰinLF.kɐiHT.	kɔHB.	tsɐtHT.lɐkHT.	wɔLF.	tsɛkHB. / tʰiuLF.		tʰouLR.ŋɔLT.	tsʰiHB.	puiLT.	tsœŋHT. / paHR.	saŋHR.	tsiŋLT.	hɐiHR.	tʰɐiHR.	kɐuHR.kuHR.	jytLT.kuɔŋHT.	peiLT.kɔHT.	heiHT.	tsaŋHT.	peiHR.	wanHT.	lukHT.jɐuHR.	huŋLF.	tʰɐuHR.	jinLF.	wɐnHR.	tsɔŋHT. / pɐtHT.	pɔkHB.tʰɐuLF.	kiuHB. / ŋaiHB.	haHT.	fɐnHB.	tsɐiHR.	tsʰiLF.kɐŋHT.	tsʰɛŋHT.tɐuHR. / wɔŋLF.tɐuHR.	maLF.tsœkHB. / wɔLF.tsœkHB.	tsiHT.tsyHT. / laLF.kʰaLF.	fanLT.	kuaŋLT. / tɔŋLT.	sɐtLT.tsɛŋLT.	kɔHR.	tsʰakLT.louHR. / siuHR.tʰɐuHT.	liHT.	tɛŋHB.	lɔkLT.sœyHR. / lɔkLT.jyLR.	kʰɐnLF.kʰœyHR.	tʰiŋHT.jɐtLT.	leiLT.	pʰɔHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jiikLT.	kʰɐnLF.jɐtLT. / tsɔkLT.jɐtLT.
QY	teiHR.	kʰɐnHR. / søyHB.	ŋɔHB.			tʰuŋLF.	feiHT.syHR.	kɛŋHT.	hɐtHT.jiHT.	tsɐnHT.	ninHT.		tʰiuHB.pʰeiLF. / pakHB.jimHB.	faiHB.tsyHR.	tuŋHB.søyHR.	tsiHT.tsøtHT.	latLT.tʰatHB. / wuHT.tsauHT.	munLF.lamHR.	wɔŋLF.meiLT.tsʰiLF.	sikLT.	tsʰɐnHT.	kɐuHR.naHR.	simHR.tinLT.	wuHT.jiiŋHT.	kapHT.naHR.	kɔHB.	tsɐpHT.lɐpHT.	wɔLF.	pʰɐtHT.		touHR.ŋɔHR.	wɐnLF. / tsʰyHB.	puiHB.	tsœŋHT.	saŋHT.	laŋHB.	hɐiHR. / hœŋHR.	tʰɐiHR.	kɐuHR.kuHR.	jytLT.kuɔŋHT.	peiLT.kɔHT.	hiHT.	tsaŋHT.	peiHR.	saHR.	jɐuHR.kuɔHR.	huŋLF.	lœŋLF.	jimLF.	wɐnHR.	tsɔŋHT.	pɔkHB.tʰɐuLF.	kiuHB. / hamHB.	haHT.kuŋHT.	fɐnHB.	tsɐiHR.	tsʰiLF.kiŋHT.	wɔŋLF.tɐuLF.	wɔLF.tsœkHB.tsɐiHR.	kʰaLF.lauHR.	fanHR.	tɔŋHB.	sɐtLT.tsiŋHR.	kɔHR.	siuHR.tʰɐuHT.	niHT.	mɛkLT. / tiuHT.	lɔkLT.søyHR.	kʰɐmLF.kʰyLF.	tʰiŋHT.jɐtLT.	leiLT.	pʰɔHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jiikLT.	kʰɐmLF.jɐtLT.
QZ	tiLT.	sɐnLR.	ŋɔLR.	tsʰinLF.puLT.	jɐuLT.	kapHB.	fiHT.siHR.	pʰaHB.	hɐtHT.ȵiHT.	fuLF.	mɛLF..	haHT.	tʰiuHB.pʰiLF.	faiHB.tsiHR.	jɐnHT.ɬuiHR.	tʰuHR.kɐuHR.	latLT.tʰatHB.	munLF.kʰɐmHR.	tsʰiŋHT.tʰiŋLF.	sikLT.	tanLT.	kɐuHR.naHR.	simHR.tinLT.	mɐnHT.jiŋHT.	tʰinLF.kɐiHT.	tsiɛkHB.	lɐmHB.tɔŋHB.	wɔLF.	pʰɐtHT.	tʰuŋLF.kaHB.	ŋɔLT.	tsʰiHB.	hɔŋHB.	paHT.	saŋHT.	kɐuLT.	tsɔiLT.	tʰaiHR.	kɐuHR.kuŋHT.	ȵitLT.kɔŋHT.	piLT.kuŋHT.	hiHT.	tsaŋHT.	aiLT.	saHR.	pukLT.tsiHR.	tʰinHT.kɔŋHB.	liɛŋLF.	jimLF.	wɐnHR.	tsɔŋHT.	pɔkHB.tʰɐuLF.	hamHB.	haHT.	ɬuiLT.	tsɐiHR.	tʰɔŋHT.kaŋHT.	wɔŋLF.tɐuLT.	maLF.tsʰiɛkHB.	tsiHT.tsɐuHT.	fanLT.	kɔŋLT.	tsatHB.ɬɐtLT.	nuHT.	pakLT.niɛmHT.	kɔHB.	tsaiHT.	lɔkLT.jiLR.	kʰɐmLF.siLF.	miŋLF.ȵɐtLT.	liLT.tsʰinLF.	tɐuHT.	tsɛHT.	kuaiHT.	mɐtHT.ȵɐnLF.	jikLT.	tsɔkLT.ȵɐtLT.
RH	teiLT.	kʰɛŋHR.	ŋɔLR.			tʰuŋLF.	feiHT.sʉHR.	kiɛŋHT. / pʰaHB.	hɐtHT.jiHT. / hɐtHT.jiHT.louHR.	tsœnHT.	laiLR.		tʰiuHB.pʰeiLF.	faiHB.tsʮHR.	laŋLR.sœyHR.	sœtHT.sœtHT.	lakLT.tʰakLT. / wuHT.tsouHT.	munLF.tsʰaŋHR. / munLF.kʰaŋHR.	lɔLF.meiHT.tsɐiHR.	sɛkLT.	tsʰœnHT.	kɐuHR.laHR.	sinHR.tinLT.	wuHT.jinLF.	kɐtHT.laHR. / tʰinLF.kɐiHT.	kɔHB.	tsɐtHT.lɐtHT.	wɔLF.	tsiɛkLT.		tʰouHR.keiHT.	tsʰʮHB.	puiLT.	tsiœŋHT.	səŋHT.	laŋLR.	hɐiLT. / hiœŋHR.	tʰɐiHR.	kɐuHR.kuHR.	jitLT.kɔŋHT.	peiLT.kɔHT.	heiHT.	tsaŋHT.	peiHR.	waŋHR.	lukLT.jɐuHR.	tʰinHT.kɔŋHB.	tʰɐuHR.	jinLF.	wɐnHR.	tsɔŋHT.	kaŋHT.tʰɐuLF.pɔkHT.	haŋHR.	haHT.kuŋHT.	fɐnHB.	tsɐiHR.	tʰiuLF.kɐŋHT.	wɔŋLF.tɐuHR.	wɔLF.tsiœkLT.tsɐiHR. / wɔLF.pitHT.tsɐiHR.	lɔLF.kʰɔLF..	faŋLT.	tɔŋLT.	kitHT.sɐtLT.	kɔHR.	tsʰɐkLT.louHR.	liHT.	tɛŋHB. / tiuHT.	lɔkLT.sœyHR.	kʰɐnLF.sʉLF. / kʰɐnLF.maLF.	mɛŋLF.jɐtLT. / tʰiɛŋHT.jɐtLT.	leiLT. / siɛkLT.tʰɐuLF.	tɐuHT.	tsiɛHT.	kuaiHT.	pinHT.kɔHB.	jɛkLT.pʰakLT.	kʰɐnLF.jɐtLT.
SD	teiLF.	tsʰɐnHR.	ɔiLR.	tsʰynHF.pouLF.	touHT.	tuŋHF.	fukHT.syHR.	fɔŋHF.	hɐtHT.jiHT.	tsœnHT.	jyLR.fɔŋHF.	haHF.	pakHB.jimLF.	waiLF.tsyLR.	tuŋLF.sœyLR.	tsœtHT.	wuHT.tsɔHF.	munHF.kʰamLR.	tɔŋHF.leiHR.	setLF.	tsʰœnHF.	kɐuLR.laHR.	simLR.tinLF.	wuHF.henHR.	tinHF.kɐiHT.	kɔiLF.	tsɐpHT.lɐpHT.	fɔHF.	tsɛkHB.	timHR. / timHR.hœŋHR.	ɔLF.	tsʰyLF.	puiLF.	tsœŋHF.	saŋHF.	laŋLR.	hɐiHR.	tʰɐiHR.	kɐuLR.kuŋHT.	jytLF.kuɔŋHF.	peiLF.kɔHF.	hiHF.	tsaŋHF.	peiHT.	fanLR.	lukHT.jɐuHR.	kuŋLR.puŋHR.	tʰauLR.	himHF.	wɐnLR.	tsɔŋHF.	pɔkHB.tʰɐuHF.	ɛuHF.	haHF.	hɐnHB.	tsɐiLR.	tsʰiHF.kɐŋHT.	pakLF.tɐuHR.	fɔHF.waHF.tsœkHR.	kʰɐmHF.lɔHR.	fanLF.	tɔŋLF.	sɐtLF.tsɛŋLF.	louLR.	tʰɐuHT.tsɐiHR.	leiHF.	wenLF.	lɔkLF.hyLR.	kʰɐmHF.kʰyHF.	tʰenHT.jɐtLF.	leiLF.	pʰɔHF.	tsɛHT.	kuaiHF.	pɛnHT.kɔiHR.	hetLF.	kʰɐmHF.jɐtLF.
SG	teiLT.	kʰɐnHR.	ŋɔLR.			tʰuŋLF.	feiHT.syHR.	kɛŋHT. / tsɐtLT.	hɐtHT.jiHT.	tsœnHT.	laiLR.		tʰiuHB.pʰeiLF. / pakHB.jinHB.	faiHB.tsiHR.	tuŋHB.sœyHR.	tsikHT.tsœtHT.	latLT.tʰatHB. / wuHT.tsouHT.	munLF.tsʰanHR.	tʰɔŋLF.leiHT.	sikLT.	tanHR.	kɐuHR.laHR.	sinHR.tinLT.	wuHT.jiiŋHT.	tʰinLF.kɐiHT.	kɔHB.	tsɐtHT.lɐpHT.	wɔLF.	tsɛkHB.		tʰouLR.ŋɔLT.	tsʰiHB. / tʰɔŋHB.	puiLT.	tsœŋHT.	səŋHT.	laŋLR. / siŋLT.	hɐiHR. / hœŋHR.	tʰɐiHR.	kɐuHR.kuŋHT. / kɐuHR.kuHR.	jytLT.kɔŋHT.	peiLT.kɔHT.	heiHT.	tsɐŋHT.	peiHR.	wanHR.	lukHT.jɐuHR.	huŋLF.	tʰɐuHR.	jinLF.	wɐnLR.	tsɔŋHT.	pɔkHB.tʰɐuLF.	kiuHB. / ŋaiHB.	haHT.	fɐnHB.	tsɐiHR.	tsʰiLF.kɐŋHT.	wɔŋLF.tɐuHR.	maLT.tsœkHB.	kʰaLF.laHR.	fanLT.	tɔŋLT.	sɐtLT.tsɛŋLT.	kɔHR.	tsʰɐkLT.louHR.	liHT.	mɛkLT. / pʰɛkHB. / tɛŋHB.	lɔkLT.sœyHR.	kʰɐmLF.kʰœyHR.	tʰiŋHT.jɐtLT.	leiLT.	pʰɔHT.	tsɛHT.	kuaiHT.	pinHT.kɔHB.	jiikLT.	tsʰɐmLF.jɐtLT.
SH	tiLF. / neLF.	sɐnLR.	ŋɔLR.			tuŋLF.	fiHF.syHB.	kiɐŋHF. / pʰaHB.	hɐtHT.jiLF.louHB.	tsɐnHF.	nenHB.		tʰeuHB.pɐiLF.	tyLR.	tuŋHB.suiHB.	tsɐtHT.	latLT.tʰatHB. / wuHF.tsouHF.	tiLR.keuHF.	lɔkLFR.nɐiLF.	jɐkHB.	tsʰɐnHF.	kauHB.naHB.	sinHB.tenLR.	wuHF.jɐŋHF.	kɐpHT. / kɐpHT.naHB.	kɔHB.	tsɐpHT.lɐpHT.	wɔLF.tsaiHB.	pʰɐtHT. / tsiɐkHB.		tɐuLR.kɐiHF. / tɐuLR.ŋɔLR.	tsʰiHB.	paiLR.	tsyɔŋHF.	ɔHF.	laŋLR.	hɐiLR. / aHF.	tʰɐiHB.	kauHB.kuHB.	jytLT.kuɔŋHF.	piLR.kɔHF.	wiɐŋHB.	tsɐŋHF.	peiHB.	wanHB.saHB.	pɐtHT.lukHT.	luŋLF.	tʰɐuHB.	jinLF.	wɐnHB.	tsɔŋHF.	pɔkHB.tauLF.	kiuHB.	haHF.	fɐnHB.	tsaiHB.	siLF.kaŋHF.	pakLT.tauLR.	maLF.tsyɔkHB. / maLR.lauHF.jiLF.	kɐmLF.mouLF. / tsiHF.tsyHF.	fanLR.	hɐŋLF.	sɐtLT.tsiɐŋLR.	kɔHB.	tsʰɐtLT.tsaiHB.	liHB.	pʰiɐkLFR. / kuaŋLR.	lɔkLFR.jyLR.laLF.	kamLF.kʰoyLF.	tɐiLR.jɐtLT. / tɐiLR.tsiHF.jɐtLT.	liLR.	pʰɔHF.	tsiɐHF.	tsiɐŋHF.	pinHF.kɔHB.	jɐkLT.	tsɐmHB.mɐnHB.jɐtLT.
SS	teiLT.	tsʰɐnHR.	ŋɔiLR.	hɐmLF.paLF.laŋLT.	touHF. / jiikLT.	tʰuŋLF.	feiHF.syHR.	fɔŋHF.	hɐtHT.jiHT.	tsœnHT.	ninHT.	haHF.	pakHB.jimHB. / tʰiuHB.pʰeiLF.	faiHB.tsiHR.	tuŋHB.sœyHR.	tsœtHT.	wuHT.tsouHF.	teiLT.fukLT.	tʰɔŋLF.meiHT.	sikLT.	tsʰœnHF.	kɐuHR.naHR.	simHR.liaŋLT.	wuHT.jiiŋHT.	kɐpLT.naHR.	kɔiHB.	tsɐpHT.lɐpHT.	wɔLF.	tsiakHB.	timHR.	tʰouLR.ŋɔLT.	tsʰiHB.	puiLT.	tsiɔŋHF.	ɔHT.	laŋLR.	hɐiHR.	tʰɐiLR.	kɐuHR.kuHR.	jytLT.kuɔŋHF.	peiLF.kɔHT.	heiHF.	tsaŋHF.	peiHR.	saHB. / wanHR.	lukHT.jɐuHR.	wɔkLT.jiLR.luŋLF.	tʰauHR. / liɔŋLF.haLR.	jimLF.	wɐnLR.	tsɔŋHF. / tʰimHF.	pɔkHB.tʰɐuLF.	ɛuHF.	haHT.kuŋHT.	hɐnHB.	tsɐiHR.	tsʰiLF.kɐŋHT.	pakLT.tɐuHR.	wɔLF.tsiɔkHR.	kʰɐmLF.louHR. / tsiHF.tsœHT.	fanLT.	kuaŋLT.	sɐtLT.tsiaŋLT.	kɔHR.	syHR.mɔHT.	kiHT.	tɛuHB.	lɔkLT.hyLR.	kʰɐmLF.kʰœyHR.	tʰəŋHF.jɐtLT.	leiLT.	pʰɔHT.	tsiɛHT.	tʰiaŋHF.waLT.	pinHT.kɔiHB.	jiikLT.	kʰɐmLF.mɐtLT.
TS	LF.	kʰinLF.	ᵑguɔiLF.	hamLF.paLF.laŋLF.	ziakLF.	huŋLT.	feiHB.siHT.	ⁿdutLF.	hatHT.ᵐbaiHT.tuɔiHT.	tunHR.	ⁿdenHR.	hiHB.fuLF. / haHB.	kʰaiLT.siəŋHT.	faiHB.tuHT.	wuŋHB.suiHT.	ɬetHT.ɬutHT.	latLF.tʰatHB. / laLT.tsaHT.	jiLF.fukLF.	vɔŋLT.ᵐbiHR.	hiakHB.	anLF.	keuHT.ⁿdaHT.	henHB.siapHB.	vuɔLT.zienHR.	henLT.kaiHB. / kepHT.kaiHT.	kuɔiHB.	siuHB.suiHT.	vuɔLT.	kuɔiHB.	kiHT.hauHR.	wuHT.kiHB.	lunLT. / vuɔiLT.	hamLT.	tsiaŋHB.	saŋHB.	wuŋHB.	ouHB.	haiHT.	keuHT.kuŋLF.	ᵑgutLF.kɔŋHB.	peiLF.kuɔHT.	hiHB.	tsʰaŋHB.	jiHT.	lauLF.	puHT.lukHT.	vɔkLF.ᵑgiHT.	souHT.	siaŋLF.ᵐbiHR.	vunHT.	zieuHT.	kanHB.heuLT.	hamHB.	haHR.	funHB.	tuɔiHT.	siLT.kaŋHR.	vɔŋLT.euHR.	vuɔLT.tiakHT.	kʰaLT.louHR.	fanLF.	wuŋLF.	ketHT.sitLF.	ⁿdenLF. / kʰuŋLF.	tʰakLF.tuɔiHT.	kʰuɔiLF.	pʰiakLF. / sauLF. / jauLF.sauLF.	lɔkLF.suiHT.	kʰemLT.siLT.	henHB.tauHT.	liHR.	euHB.	tsiaHR.	hiaŋHB.kauHB.	aHB.suiHR.	zetLF.	tʰamLT.ᵐbanHR. / tʰamLT.ᵑgitLF.tɤHT.
