idx,var,xb,pdgx,gy,gloss_zh,gloss_en,dialect,form,family,subfamily,orth,transcription,ref,,
164,3,18,20,,下雨,to rain,NN_p,lok8 y4,1,1,落雨,lak²³ hui²³,,,
165,3,18,20,,下雨,to rain,FS_p,lok8 y4,1,1,落雨,lak²² haɤ¹¹,,,
166,3,18,20,,下雨,to rain,BS_p,lok8 y4,1,1,落雨,luk²² hui²⁴,,,
167,3,18,20,,下雨,to rain,BY,lok8 y4,1,1,落雨,lœk⁵² hui²²,,,
168,3,18,20,,下雨,to rain,HX,lok8 y4,1,1,落雨,lɔk²² hy²⁴,,,
169,3,18,20,,下雨,to rain,ZQ,lok8 y4,1,1,落雨啦,lɔk³³ hœy¹³ la³³,,,
170,3,18,20,,下雨,to rain,SH,lok8 y4,1,1,落雨啦,lɔk²¹³ jy²⁴ la²¹,,,
171,3,18,20,,下雨,to rain,GN,lok8 y4,1,1,落雨啦,lok²² hy²¹⁴ la²¹,,,
172,3,18,20,,下雨,to rain,DQ,lok8 y4,1,1,落雨,lɔk²² y¹³,,,
173,3,18,20,,下雨,to rain,HJ,lok8 y4,1,1,落雨,lɔk³³ jy¹³,,,
174,3,18,20,,下雨,to rain,FK,lok8 y4,1,1,落雨,lœk²² y²⁴²,,,
175,3,18,20,,下雨,to rain,YF,lok8 y4,1,1,落雨噢,lɔk²² jy¹³ wuɔ³³,,,
176,3,18,20,,下雨,to rain,XX,lok8 shuj3,2,1,落水啦,lɔk³¹ sy³⁵ la⁴⁴,,,
177,3,18,20,,下雨,to rain,LD,lok8 shuj3,2,1,落水,lɔk²² sui³⁵,,,
178,3,18,20,,下雨,to rain,YN,lok8 y4,1,1,落雨,lɔk²² y¹³,,,
179,3,18,20,,下雨,to rain,QY,lok8 shuj3,2,1,落水,lɔk²² søy³⁵,,,
180,3,18,20,,下雨,to rain,FG,lok8 shuj3,2,1,落水,lɔk²² søy³⁵,,,
181,3,18,20,,下雨,to rain,YD,lok8 shuj3,2,1,落水,lɔk²² ʃøi²⁴,,,
182,3,18,20,,下雨,to rain,YS,lok8 y4,1,1,落雨,lœk²² y²⁴,,,
183,3,18,20,,下雨,to rain,BT,lok8 shuj3,2,1,落水,løk²¹⁴ ʃui⁵⁵,,,
184,3,18,20,,下雨,to rain,LX,lok8 y4,1,1,落雨囉,lœk²² jy³⁵ lɔ²¹,,,
185,3,18,20,,下雨,to rain,SG,lok8 shuj3,2,1,落水,lɔk²² sœy³⁵,,,
186,3,18,20,,下雨,to rain,QJ,lok8 shuj3,2,1,落水,lɔk²² sœy³⁵,,,
187,3,18,20,,下雨,to rain,QJ,lok8 y4,1,1,落雨,lɔk²² jy¹³,,,
188,3,18,20,,下雨,to rain,RH,lok8 shuj3,2,1,落水,lɔk²² sœy³⁵,,,
189,3,18,20,,下雨,to rain,LC,lok8 y4,1,1,落雨,lɔk²² y³⁵,,,
190,4,26,27,,虹,rainbow,GZ,hung2,1,1,虹,hoŋ²¹,,,
191,4,26,27,,虹,rainbow,HK,thian1 hung2 ,1,3,天虹,tʰin⁵⁵ hoŋ²¹,,,
192,4,26,27,,虹,rainbow,HK,tshoi3 hung2,1,4,彩虹,tsʰɔi³⁵ hoŋ²¹,,,
193,4,26,27,,虹,rainbow,JT,kung4,3,1,虹,kʰoŋ²³,,,
194,4,26,27,,虹,rainbow,MC,hung2,1,1,虹,hoŋ²¹,,,
195,4,26,27,,虹,rainbow,PY,hung2,1,1,虹,hoŋ³¹,,,
